subclassification_code,rule_id,category_code,category,subcategory,tertiary_applicable,tertiary_dimension,tertiary_code,tertiary_classification,tertiary_source_term,tertiary_is_residual,tertiary_aliases,allocation_key,annual_rate_pkr,rate_basis,official_text,criteria_json,source_page,notes
5(ii),PFT-5.ii,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 1 million and <= Rs 10 million,true,business_type,PFT-T05-BUILDER,Builder,builders,false,builder | builders,5(ii)|PFT-T05-BUILDER,6000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 1 million but not exceeding rupees 10 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":1000000},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":10000000}]",2,
5(ii),PFT-5.ii,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 1 million and <= Rs 10 million,true,business_type,PFT-T05-PROPERTY-DEVELOPER,Property Developer,property developers,false,property developer | property developers,5(ii)|PFT-T05-PROPERTY-DEVELOPER,6000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 1 million but not exceeding rupees 10 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":1000000},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":10000000}]",2,
5(iii),PFT-5.iii,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 10 million and <= Rs 50 million,true,business_type,PFT-T05-CONTRACTOR,Contractor,Contractors,false,contractor | contractors,5(iii)|PFT-T05-CONTRACTOR,10000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 10 million but not exceeding rupees 50 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":10000000},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":50000000}]",2,
5(iii),PFT-5.iii,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 10 million and <= Rs 50 million,true,business_type,PFT-T05-BUILDER,Builder,builders,false,builder | builders,5(iii)|PFT-T05-BUILDER,10000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 10 million but not exceeding rupees 50 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":10000000},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":50000000}]",2,
5(iii),PFT-5.iii,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 10 million and <= Rs 50 million,true,business_type,PFT-T05-PROPERTY-DEVELOPER,Property Developer,property developers,false,property developer | property developers,5(iii)|PFT-T05-PROPERTY-DEVELOPER,10000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 10 million but not exceeding rupees 50 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":10000000},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":50000000}]",2,
5(iv),PFT-5.iv,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 50 million,true,business_type,PFT-T05-CONTRACTOR,Contractor,Contractors,false,contractor | contractors,5(iv)|PFT-T05-CONTRACTOR,20000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 50 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":50000000}]",2,
5(iv),PFT-5.iv,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 50 million,true,business_type,PFT-T05-BUILDER,Builder,builders,false,builder | builders,5(iv)|PFT-T05-BUILDER,20000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 50 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":50000000}]",2,
5(iv),PFT-5.iv,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 50 million,true,business_type,PFT-T05-PROPERTY-DEVELOPER,Property Developer,property developers,false,property developer | property developers,5(iv)|PFT-T05-PROPERTY-DEVELOPER,20000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 50 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":50000000}]",2,
6(i),PFT-6.i,6,Professions and service providers,Medical Consultants or Specialists / Dental Surgeons,true,profession_type,PFT-T06I-MEDICAL-CONSULTANT,Medical Consultant,Medical Consultants,false,medical consultant | medical consultants,6(i)|PFT-T06I-MEDICAL-CONSULTANT,5000,per annum,Medical Consultants or Specialists/Dental Surgeons,"[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Medical Consultant"",""Medical Specialist"",""Dental Surgeon""]}]",2,
6(i),PFT-6.i,6,Professions and service providers,Medical Consultants or Specialists / Dental Surgeons,true,profession_type,PFT-T06I-MEDICAL-SPECIALIST,Medical Specialist,Specialists,false,medical specialist | medical specialists | specialist | specialists,6(i)|PFT-T06I-MEDICAL-SPECIALIST,5000,per annum,Medical Consultants or Specialists/Dental Surgeons,"[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Medical Consultant"",""Medical Specialist"",""Dental Surgeon""]}]",2,
6(i),PFT-6.i,6,Professions and service providers,Medical Consultants or Specialists / Dental Surgeons,true,profession_type,PFT-T06I-DENTAL-SURGEON,Dental Surgeon,Dental Surgeons,false,dental surgeon | dental surgeons,6(i)|PFT-T06I-DENTAL-SURGEON,5000,per annum,Medical Consultants or Specialists/Dental Surgeons,"[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Medical Consultant"",""Medical Specialist"",""Dental Surgeon""]}]",2,
6(ii),PFT-6.ii,6,Professions and service providers,Registered Medical Practitioners,false,,,,,,,6(ii),4000,per annum,Registered Medical Practitioners,"[{""field"":""profession_type"",""operator"":""="",""value"":""Registered Medical Practitioner""}]",2,
6(iii)(a),PFT-6.iii.a,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06III-OTHER,Other profession/service under 6(iii),Others,true,,6(iii)(a)|PFT-T06III-OTHER,3000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — within Metropolitan and Municipal Corporation limits","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",2,
6(iii)(a),PFT-6.iii.a,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06III-HOMOEOPATH,Homoeopath,Homoeopaths,false,homoeopath | homoeopaths | homeopath | homeopaths,6(iii)(a)|PFT-T06III-HOMOEOPATH,3000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — within Metropolitan and Municipal Corporation limits","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",2,
6(iii)(a),PFT-6.iii.a,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06III-HAKEEM,Hakeem,Hakeems,false,hakeem | hakeems | hakim | hakims,6(iii)(a)|PFT-T06III-HAKEEM,3000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — within Metropolitan and Municipal Corporation limits","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",2,
6(iii)(a),PFT-6.iii.a,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06III-AYURVEDIC,Ayurvedic Practitioner,Ayuervedics,false,ayurvedic | ayurvedics,6(iii)(a)|PFT-T06III-AYURVEDIC,3000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — within Metropolitan and Municipal Corporation limits","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",2,
6(iii)(b),PFT-6.iii.b,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Others",true,profession_type,PFT-T06III-OTHER,Other profession/service under 6(iii),Others,true,,6(iii)(b)|PFT-T06III-OTHER,1000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — others","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(iii)(b),PFT-6.iii.b,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Others",true,profession_type,PFT-T06III-HOMOEOPATH,Homoeopath,Homoeopaths,false,homoeopath | homoeopaths | homeopath | homeopaths,6(iii)(b)|PFT-T06III-HOMOEOPATH,1000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — others","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(iii)(b),PFT-6.iii.b,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Others",true,profession_type,PFT-T06III-HAKEEM,Hakeem,Hakeems,false,hakeem | hakeems | hakim | hakims,6(iii)(b)|PFT-T06III-HAKEEM,1000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — others","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(iii)(b),PFT-6.iii.b,6,Professions and service providers,"Others including Homoeopaths, Hakeems and Ayuervedics | Others",true,profession_type,PFT-T06III-AYURVEDIC,Ayurvedic Practitioner,Ayuervedics,false,ayurvedic | ayurvedics,6(iii)(b)|PFT-T06III-AYURVEDIC,1000,per annum,"Others including Homoeopaths, Hakeems and Ayuervedics — others","[{""field"":""profession_type"",""operator"":""IN"",""value"":[""Homoeopath"",""Hakeem"",""Ayuervedic"",""Other under 6(iii)""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(iv)(a),PFT-6.iv.a,6,Professions and service providers,Auditing firms | Within Metropolitan and Municipal Corporation limits,false,,,,,,,6(iv)(a),6000,per annum per professionally qualified person,Auditing firms (per professionally qualified person) — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""="",""value"":""Auditing firm""},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(iv)(b),PFT-6.iv.b,6,Professions and service providers,Auditing firms | Others,false,,,,,,,6(iv)(b),4000,per annum per professionally qualified person,Auditing firms (per professionally qualified person) — others,"[{""field"":""service_type"",""operator"":""="",""value"":""Auditing firm""},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(v)(a),PFT-6.v.a,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06V-MANAGEMENT-CONSULTANT,Management Consultant,Management Consultants,false,management consultant | management consultants,6(v)(a)|PFT-T06V-MANAGEMENT-CONSULTANT,6000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — within Metropolitan and Municipal Corporation limits","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(v)(a),PFT-6.v.a,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06V-TAX-CONSULTANT,Tax Consultant,Tax Consultants,false,tax consultant | tax consultants,6(v)(a)|PFT-T06V-TAX-CONSULTANT,6000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — within Metropolitan and Municipal Corporation limits","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(v)(a),PFT-6.v.a,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06V-ARCHITECT,Architect,Architects,false,architect | architects,6(v)(a)|PFT-T06V-ARCHITECT,6000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — within Metropolitan and Municipal Corporation limits","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(v)(a),PFT-6.v.a,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06V-ENGINEERING-CONSULTANT,Engineering Consultant,Engineering Consultants,false,engineering consultant | engineering consultants,6(v)(a)|PFT-T06V-ENGINEERING-CONSULTANT,6000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — within Metropolitan and Municipal Corporation limits","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
